algorithm,seed,step,success_rate,mean_score,solved_count,total_episodes,filled_mean,violations_mean,zero_cand_mean
contraction_zonly_fast,456,3600,0.1,10.54,5,50,14.7,2.08,0.14
contraction_zonly_fast,456,3650,0.1,10.54,5,50,14.7,2.08,0.14
contraction_zonly_fast,456,3700,0.1,10.54,5,50,14.7,2.08,0.14
contraction_zonly_fast,456,3750,0.1,10.54,5,50,14.7,2.08,0.14
contraction_zonly_fast,456,3800,0.1,10.54,5,50,14.7,2.08,0.14
contraction_zonly_fast,456,3850,0.1,10.54,5,50,14.7,2.08,0.14
contraction_zonly_fast,456,3900,0.1,10.54,5,50,14.7,2.08,0.14
contraction_zonly_fast,456,3950,0.1,10.54,5,50,14.7,2.08,0.14
contraction_zonly_fast,456,4000,0.1,10.54,5,50,14.7,2.08,0.14
contraction_zonly_fast,456,4050,0.1,10.54,5,50,14.7,2.08,0.14
contraction_zonly_fast,456,4100,0.1,10.54,5,50,14.7,2.08,0.14
contraction_zonly_fast,456,4150,0.1,10.54,5,50,14.7,2.08,0.14
contraction_zonly_fast,456,4200,0.1,10.54,5,50,14.7,2.08,0.14
contraction_zonly_fast,456,4250,0.1,10.54,5,50,14.7,2.08,0.14
contraction_zonly_fast,456,4300,0.1,10.54,5,50,14.7,2.08,0.14
contraction_zonly_fast,456,4350,0.1,10.64,5,50,14.68,2.02,0.14
contraction_zonly_fast,456,4400,0.1,10.54,5,50,14.7,2.08,0.14
contraction_zonly_fast,456,4450,0.1,10.64,5,50,14.68,2.02,0.14
contraction_zonly_fast,456,4500,0.1,10.64,5,50,14.68,2.02,0.14
contraction_zonly_fast,456,4550,0.1,10.54,5,50,14.7,2.08,0.14
contraction_zonly_fast,456,4600,0.1,10.64,5,50,14.68,2.02,0.14
contraction_zonly_fast,456,4650,0.1,10.54,5,50,14.7,2.08,0.14
contraction_zonly_fast,456,4700,0.1,10.54,5,50,14.7,2.08,0.14
contraction_zonly_fast,456,4750,0.1,10.54,5,50,14.7,2.08,0.14
contraction_zonly_fast,456,4800,0.1,10.54,5,50,14.7,2.08,0.14
contraction_zonly_fast,456,4850,0.1,10.54,5,50,14.7,2.08,0.14
contraction_zonly_fast,456,4900,0.1,10.54,5,50,14.7,2.08,0.14
contraction_zonly_fast,456,4950,0.1,10.54,5,50,14.7,2.08,0.14
contraction_zonly_fast,456,5000,0.1,10.54,5,50,14.7,2.08,0.14
